Number of species	4
Number of genes	193123
Number of genes in orthogroups	174238
Number of unassigned genes	18885
Percentage of genes in orthogroups	90.2
Percentage of unassigned genes	9.8
Number of orthogroups	34118
Number of species-specific orthogroups	4572
Number of genes in species-specific orthogroups	18601
Percentage of genes in species-specific orthogroups	9.6
Mean orthogroup size	5.1
Median orthogroup size	4.0
G50 (assigned genes)	5
G50 (all genes)	5
O50 (assigned genes)	9390
O50 (all genes)	11278
Number of orthogroups with all species present	19808
Number of single-copy orthogroups	9831
Date	2025-06-17
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	9676	28.4	23307	13.4
'1	20300	59.5	95970	55.1
'2	2670	7.8	24066	13.8
'3	712	2.1	9331	5.4
'4	271	0.8	4686	2.7
'5	145	0.4	3075	1.8
'6	85	0.2	2174	1.2
'7	74	0.2	2173	1.2
'8	38	0.1	1261	0.7
'9	36	0.1	1337	0.8
'10	19	0.1	785	0.5
11-15	60	0.2	3213	1.8
16-20	21	0.1	1505	0.9
21-50	10	0.0	1049	0.6
51-100	1	0.0	306	0.2
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	4572
2	6340
3	3398
4	19808
