	i_nil	i_purpurea	i_trifida	i_triloba
i_nil	0.0	20662.0	15033.0	14531.0
i_purpurea	20662.0	0.0	15646.0	15155.0
i_trifida	15033.0	15646.0	0.0	17512.0
i_triloba	14531.0	15155.0	17512.0	0.0
