	i_nil	i_purpurea	i_trifida	i_triloba
i_nil	0.0	34614.0	28618.0	28537.0
i_purpurea	33210.0	0.0	26829.0	27094.0
i_trifida	33065.0	32091.0	0.0	36474.0
i_triloba	34382.0	33263.0	38071.0	0.0
