	i_nil	i_purpurea	i_trifida	i_triloba
i_nil	0.0	1589.0	4721.0	5107.0
i_purpurea	3482.0	0.0	5239.0	5642.0
i_trifida	2181.0	1189.0	0.0	3800.0
i_triloba	2068.0	1159.0	3267.0	0.0
