	i_nil	i_purpurea	i_trifida	i_triloba
i_nil	0.0	1993.0	3011.0	3403.0
i_purpurea	2180.0	0.0	1468.0	1902.0
i_trifida	3515.0	1448.0	0.0	7124.0
i_triloba	3849.0	1450.0	7608.0	0.0
