Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	22	22
OG0000318	21	21
OG0000319	21	21
OG0000320	24	24
OG0000321	23	23
OG0000322	22	22
OG0000323	24	24
OG0000324	24	24
OG0000325	24	24
OG0000326	24	24
OG0000327	18	17
OG0000328	21	21
OG0000329	23	23
OG0000330	15	14
OG0000331	21	21
OG0000332	10	9
OG0000333	22	22
OG0000334	19	19
OG0000335	18	18
OG0000336	16	14
OG0000337	18	18
OG0000338	21	21
OG0000339	23	23
OG0000340	21	21
OG0000341	23	23
OG0000342	20	19
OG0000343	22	22
OG0000344	21	21
OG0000345	22	22
OG0000346	15	15
OG0000347	21	21
OG0000348	9	8
OG0000349	19	19
OG0000350	19	17
OG0000351	21	21
OG0000352	20	20
OG0000353	21	21
OG0000354	15	15
OG0000355	9	7
OG0000356	15	15
OG0000357	13	11
OG0000358	16	12
OG0000359	19	19
OG0000360	21	21
OG0000361	19	19
OG0000362	22	22
OG0000363	22	22
OG0000364	20	20
OG0000365	22	22
OG0000366	22	22
OG0000367	19	19
OG0000368	22	22
OG0000369	19	19
OG0000370	21	21
OG0000371	8	8
OG0000372	15	15
OG0000373	17	17
OG0000374	16	16
OG0000375	15	13
OG0000376	19	19
OG0000377	12	10
OG0000378	21	21
OG0000379	16	16
OG0000380	19	19
OG0000381	13	12
OG0000382	15	15
OG0000383	18	18
OG0000384	15	14
OG0000385	17	17
OG0000386	17	17
OG0000387	17	17
OG0000388	12	10
OG0000389	16	16
OG0000390	12	12
OG0000391	14	13
OG0000392	10	10
OG0000393	19	19
OG0000394	21	21
OG0000395	21	21
OG0000396	21	21
OG0000397	21	21
OG0000398	21	21
OG0000399	20	20
OG0000400	17	17
OG0000401	17	17
OG0000402	9	9
OG0000403	19	19
OG0000404	14	14
OG0000405	14	13
OG0000406	8	8
OG0000407	18	18
OG0000408	9	6
OG0000409	15	15
OG0000410	17	17
OG0000411	8	8
OG0000412	15	15
OG0000413	11	10
OG0000414	17	17
OG0000415	10	10
OG0000416	13	13
OG0000417	16	16
OG0000418	18	18
OG0000419	12	12
OG0000420	18	18
OG0000421	13	13
OG0000422	18	18
OG0000423	12	12
OG0000424	17	17
OG0000425	14	14
OG0000426	14	14
OG0000427	18	17
OG0000428	15	15
OG0000429	19	19
OG0000430	20	20
OG0000431	20	20
OG0000432	14	14
OG0000433	20	20
OG0000434	20	20
OG0000435	20	20
OG0000436	17	16
OG0000437	18	18
OG0000438	14	14
OG0000439	17	17
OG0000440	18	18
OG0000441	17	17
OG0000442	14	14
OG0000443	11	7
OG0000444	8	4
OG0000445	12	12
OG0000446	17	17
OG0000447	16	16
OG0000448	15	15
OG0000449	17	17
OG0000450	17	17
OG0000451	8	7
OG0000452	16	16
OG0000453	13	13
OG0000454	11	11
OG0000455	10	10
OG0000456	8	8
OG0000457	13	13
OG0000458	11	11
OG0000459	12	12
OG0000460	8	6
OG0000461	9	9
OG0000462	18	18
OG0000463	12	12
OG0000464	10	10
OG0000465	12	8
OG0000466	12	9
OG0000467	18	18
OG0000468	16	16
OG0000469	8	8
OG0000470	10	9
OG0000471	18	18
OG0000472	15	15
OG0000473	10	10
OG0000474	8	8
OG0000475	9	9
OG0000476	10	10
OG0000477	19	19
OG0000478	19	19
OG0000479	19	19
OG0000480	19	19
OG0000481	19	19
OG0000482	19	19
OG0000483	19	19
OG0000484	19	19
OG0000485	18	18
OG0000486	19	19
OG0000487	19	19
OG0000488	17	17
OG0000489	14	14
OG0000490	14	14
OG0000491	14	14
OG0000492	14	14
OG0000493	14	14
OG0000494	11	11
OG0000495	14	14
OG0000496	12	12
OG0000497	15	15
OG0000498	4	4
OG0000499	7	7
OG0000500	16	16
OG0000501	13	13
OG0000502	14	14
OG0000503	14	14
OG0000504	15	15
OG0000505	18	18
OG0000506	8	5
OG0000507	15	15
OG0000508	14	14
OG0000509	16	16
OG0000510	15	15
OG0000511	6	5
OG0000512	16	16
OG0000513	17	17
OG0000514	13	13
OG0000515	16	16
OG0000516	11	10
OG0000517	11	11
OG0000518	7	7
OG0000519	11	9
OG0000520	17	17
OG0000521	11	11
OG0000522	16	16
OG0000523	16	16
OG0000524	15	15
OG0000525	12	12
OG0000526	11	11
