	i_nil	i_purpurea	i_trifida	i_triloba
i_nil	0.0	10370.0	5853.0	5496.0
i_purpurea	6886.0	0.0	4476.0	4395.0
i_trifida	12336.0	13808.0	0.0	8038.0
i_triloba	13934.0	15499.0	9684.0	0.0
